Date,m3t
20-Nov-2024 22:52:47,4.3731502
20-Nov-2024 22:57:35,3.9757875
20-Nov-2024 23:02:23,3.4661269
20-Nov-2024 23:07:11,2.8706895
20-Nov-2024 23:11:59,2.5518926
20-Nov-2024 23:16:48,1.6797802
20-Nov-2024 23:21:35,1.5320879
20-Nov-2024 23:26:23,2.2673607
20-Nov-2024 23:31:12,2.8184821
20-Nov-2024 23:35:59,1.7134717
20-Nov-2024 23:40:47,1.7705861
20-Nov-2024 23:45:35,1.5490476
20-Nov-2024 23:50:23,1.6341623
20-Nov-2024 23:55:11,1.5866075
21-Nov-2024 00:00:00,2.0512821
21-Nov-2024 00:00:00,2.0512821
21-Nov-2024 00:04:47,2.6172161
21-Nov-2024 00:09:35,2.0897436
21-Nov-2024 00:14:24,2.6852516
21-Nov-2024 00:19:11,1.7645138
21-Nov-2024 00:23:59,1.7012617
21-Nov-2024 00:28:47,1.6570696
21-Nov-2024 00:33:35,1.4390476
21-Nov-2024 00:38:23,1.5720841
21-Nov-2024 00:43:11,1.6584538
21-Nov-2024 00:47:59,1.3797314
21-Nov-2024 00:52:47,1.6396337
21-Nov-2024 00:57:36,1.5060073
21-Nov-2024 01:02:23,1.4022235
21-Nov-2024 01:07:11,1.3376604
21-Nov-2024 01:12:00,1.3797314
21-Nov-2024 01:16:47,1.4644689
21-Nov-2024 01:21:35,1.3941392
21-Nov-2024 01:26:23,1.4795964
21-Nov-2024 01:31:11,1.4291284
21-Nov-2024 01:35:59,1.4000814
21-Nov-2024 01:40:47,1.3932601
21-Nov-2024 01:45:35,1.5198535
21-Nov-2024 01:50:23,1.5222158
21-Nov-2024 01:55:12,1.6361502
21-Nov-2024 01:59:59,1.4448514
21-Nov-2024 02:04:47,1.3917582
21-Nov-2024 02:09:35,1.3741758
21-Nov-2024 02:14:23,1.4194461
21-Nov-2024 02:19:11,1.5082236
21-Nov-2024 02:23:59,1.4611315
21-Nov-2024 02:28:47,1.501685
21-Nov-2024 02:33:35,1.487619
21-Nov-2024 02:38:24,1.4816014
21-Nov-2024 02:43:11,1.3928839
21-Nov-2024 02:47:59,1.3797314
21-Nov-2024 02:52:48,1.4282051
21-Nov-2024 02:57:35,1.3930403
21-Nov-2024 03:02:23,1.5234239
21-Nov-2024 03:07:11,1.4875908
21-Nov-2024 03:11:59,1.4204314
21-Nov-2024 03:16:47,1.5224908
21-Nov-2024 03:21:35,1.3958974
21-Nov-2024 03:26:23,1.4835807
21-Nov-2024 03:31:11,1.4146734
21-Nov-2024 03:36:00,1.3797314
21-Nov-2024 03:40:47,1.4486081
21-Nov-2024 03:45:35,1.6138828
21-Nov-2024 03:50:24,1.552111
21-Nov-2024 03:55:11,1.3936122
21-Nov-2024 03:59:59,1.4041514
21-Nov-2024 04:04:47,1.3738095
21-Nov-2024 04:09:35,1.3913919
21-Nov-2024 04:14:23,1.3600668
21-Nov-2024 04:19:12,1.3553542
21-Nov-2024 04:23:59,1.4204314
21-Nov-2024 04:28:47,1.3554945
21-Nov-2024 04:33:36,1.3730769
21-Nov-2024 04:38:23,1.3995245
21-Nov-2024 04:43:11,1.3920271
21-Nov-2024 04:47:59,1.8640619
21-Nov-2024 04:52:47,1.3917582
21-Nov-2024 04:57:35,1.3741758
21-Nov-2024 05:02:23,1.4831952
21-Nov-2024 05:07:11,1.5995202
21-Nov-2024 05:11:59,1.7338217
21-Nov-2024 05:16:48,1.3745788
21-Nov-2024 05:21:35,1.4660073
21-Nov-2024 05:26:23,1.6246514
21-Nov-2024 05:31:12,1.4524174
21-Nov-2024 05:35:59,2.0757021
21-Nov-2024 05:40:47,2.3586813
21-Nov-2024 05:45:35,1.9789011
21-Nov-2024 05:50:23,2.2168498
21-Nov-2024 05:55:11,1.9081036
21-Nov-2024 06:00:00,1.5669516
21-Nov-2024 06:04:47,1.9354945
21-Nov-2024 06:09:35,1.720989
21-Nov-2024 06:14:24,2.5860549
21-Nov-2024 06:19:11,2.0099908
21-Nov-2024 06:23:59,1.8070818
21-Nov-2024 06:28:47,2.5718681
21-Nov-2024 06:33:35,2.2624176
21-Nov-2024 06:38:23,2.1192725
21-Nov-2024 06:43:11,3.4038858
21-Nov-2024 06:47:59,3.1705332
21-Nov-2024 06:52:47,3.4447619
21-Nov-2024 06:57:36,2.8891575
21-Nov-2024 07:02:23,3.3873659
21-Nov-2024 07:07:11,2.6127541
21-Nov-2024 07:12:00,2.039072
21-Nov-2024 07:16:47,2.9461905
21-Nov-2024 07:21:35,3.0552015
21-Nov-2024 07:26:23,3.6781698
21-Nov-2024 07:31:11,3.2972345
21-Nov-2024 07:35:59,3.6100936
21-Nov-2024 07:40:47,2.5174725
21-Nov-2024 07:45:35,2.9640659
21-Nov-2024 07:50:23,2.6724247
21-Nov-2024 07:55:12,3.0001071
21-Nov-2024 07:59:59,2.4338624
21-Nov-2024 08:04:47,2.8864469
21-Nov-2024 08:09:35,2.8864469
21-Nov-2024 08:14:23,1.7660562
21-Nov-2024 08:19:11,1.8450571
21-Nov-2024 08:23:59,1.8844119
21-Nov-2024 08:28:47,1.5854212
21-Nov-2024 08:33:35,1.8737729
21-Nov-2024 08:38:24,2.462104
21-Nov-2024 08:43:11,1.798402
21-Nov-2024 08:47:59,2.0797721
21-Nov-2024 08:52:48,2.6386447
21-Nov-2024 08:57:35,2.0584249
21-Nov-2024 09:02:23,2.0590193
21-Nov-2024 09:07:11,1.9426344
21-Nov-2024 09:11:59,2.5722426
21-Nov-2024 09:16:47,2.0395971
21-Nov-2024 09:21:35,1.9727839
21-Nov-2024 09:26:23,1.5754514
21-Nov-2024 09:31:11,1.7163593
21-Nov-2024 09:36:00,1.6320716
21-Nov-2024 09:40:47,2.1055678
